62Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
62P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
63Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
63Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
63P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
64Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
64Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
64P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
65Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
65Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
65P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
66Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
66Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
66P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
67Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
67Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
67P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
68Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
68Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
68P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
69Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
69Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
69P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
70Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
70Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
70P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
71Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
71Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
71P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
72Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
72Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
72P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
73Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
73Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
73P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
74Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
74Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
74P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
75Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
75Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
75P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
